"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4092","search for playwright","chromium","Thu Jun 25 13:32:38 IST 2026","passed","Thu Jun 25 13:32:43 IST 2026","","example.spec.js","",""
"","3701","search for playwright","firefox","Thu Jun 25 13:32:38 IST 2026","passed","Thu Jun 25 13:32:42 IST 2026","","example.spec.js","",""
